DATA,PRECIPITACAO TOTAL,PRECIPITACAO MEDIA,PRESSAO ATMOSFERICA MEDIA,RADIACAO GLOBAL MEDIA,TEMPERATURA MINIMA,TEMPERATURA MAXIMA,TEMPERATURA MEDIA,PONTO DE ORVALHO MEDIA,UMIDADE RELATIVA DO AR MINIMA,UMIDADE RELATIVA DO AR MEDIA,VELOCIDADE DO VENTO MEDIA,QUANTIDADE FOCOS,OCORREU FOGO
2019-09-14,0.0,0.0,877.6458333333331,1064.5958333333335,16.9,29.9,23.516666666666666,3.9166666666666674,12.0,22.25,1.9875000000000005,0.0,False
2019-09-15,0.0,0.0,877.7708333333334,1100.9625,17.4,28.1,22.991666666666664,3.1000000000000005,12.0,24.5,3.3083333333333336,0.0,False
2019-09-16,0.0,0.0,877.6291666666666,1094.716666666667,18.0,29.1,23.329166666666666,9.190909090909091,23.0,33.27272727272727,3.0958333333333328,0.0,False
2019-09-17,0.0,0.0,876.8416666666666,1099.2958333333333,15.5,29.9,22.733333333333334,5.770000000000001,21.0,24.8,1.3916666666666666,0.0,False
2019-09-18,0.0,0.0,875.2583333333333,1084.3999999999999,18.8,32.3,24.899999999999995,1.1833333333333333,11.0,17.25,2.4083333333333328,0.0,False
2019-09-19,0.0,0.0,875.1624999999999,1022.8750000000001,17.2,32.1,24.791666666666668,1.8416666666666668,10.0,16.833333333333332,1.5291666666666666,11.0,True
2019-09-20,0.0,0.0,876.3958333333331,751.7375000000001,17.9,32.4,24.587499999999995,7.610000000000001,22.0,25.0,1.075,0.0,False
2019-09-21,0.0,0.0,876.5083333333333,957.1208333333333,18.2,33.4,25.345833333333335,5.115384615384615,18.0,21.46153846153846,1.3749999999999998,63.0,True
2019-09-22,0.0,0.0,876.6791666666669,962.9958333333333,18.8,31.9,25.454166666666666,8.091666666666667,23.0,26.583333333333332,1.758333333333333,8.0,True
2019-09-23,0.0,0.0,878.3333333333334,1071.5708333333334,20.4,28.2,23.837499999999995,7.0,7.0,28.083333333333332,3.524999999999999,58.0,True
2019-09-24,0.0,0.0,879.4791666666669,1048.9041666666667,16.8,28.3,22.595833333333335,8.284615384615385,13.0,35.30769230769231,4.1125,53.0,True
2019-09-25,0.0,0.0,878.1208333333335,966.2708333333334,16.7,28.6,23.075000000000003,6.6909090909090905,13.0,29.0,2.6041666666666665,136.0,True
2019-09-26,0.0,0.0,877.0041666666665,956.6249999999999,19.5,30.4,24.0125,7.275000000000001,8.0,27.307692307692307,2.495833333333333,448.0,True
2019-09-27,6.8,0.2833333333333333,877.208333333333,435.09166666666664,18.7,26.0,21.14166666666667,7.325000000000001,14.0,37.5,1.6249999999999998,4.0,True
2019-09-28,3.8000000000000003,0.15833333333333335,877.1458333333335,338.225,18.3,26.8,20.95,5.0200000000000005,12.0,32.6,0.8541666666666666,13.0,True
2019-09-29,8.2,0.3416666666666666,876.4875000000001,417.68333333333334,17.7,25.8,20.679166666666667,5.714285714285714,13.0,35.42857142857143,1.4916666666666663,11.0,True
2019-09-30,11.2,0.4666666666666666,876.0791666666665,961.2916666666665,17.2,29.3,21.79583333333333,11.8,7.0,37.8,1.9458333333333335,0.0,False
2019-10-01,0.0,0.0,875.3125,1035.0666666666668,17.8,29.4,22.941666666666666,10.927272727272726,17.0,37.54545454545455,2.1041666666666665,0.0,False
2019-10-02,0.0,0.0,876.0625000000001,1131.0625000000002,19.5,30.3,24.391666666666666,7.09090909090909,17.0,27.363636363636363,2.4,0.0,False
2019-10-03,0.0,0.0,876.4625,1042.5291666666667,17.0,30.7,24.087500000000002,6.236363636363635,10.0,24.636363636363637,1.554166666666667,0.0,False
